time,Temp_DE,Temp_DK,Temp_SE,Temp_NO
2015-01-01 00:00:00+00:00,-1.106,3.961,0.699,0.882
2015-01-01 01:00:00+00:00,-1.161,4.249,0.796,0.826
2015-01-01 02:00:00+00:00,-1.234,4.54,0.963,0.949
2015-01-01 03:00:00+00:00,-1.287,4.659,1.196,1.119
2015-01-01 04:00:00+00:00,-1.34,4.626,1.443,1.183
2015-01-01 05:00:00+00:00,-1.408,4.715,1.672,1.371
2015-01-01 06:00:00+00:00,-1.574,4.902,1.882,1.589
2015-01-01 07:00:00+00:00,-1.784,5.101,2.082,1.877
2015-01-01 08:00:00+00:00,-1.12,5.199,2.276,2.186
2015-01-01 09:00:00+00:00,0.023,5.359,2.546,2.457
2015-01-01 10:00:00+00:00,0.825,5.466,2.834,2.678
2015-01-01 11:00:00+00:00,1.454,5.581,3.139,2.812
2015-01-01 12:00:00+00:00,1.779,5.586,3.375,2.876
2015-01-01 13:00:00+00:00,1.689,5.518,3.548,2.828
2015-01-01 14:00:00+00:00,1.069,5.392,3.634,2.703
2015-01-01 15:00:00+00:00,0.129,5.19,3.636,2.605
2015-01-01 16:00:00+00:00,-0.225,5.03,3.571,2.524
2015-01-01 17:00:00+00:00,-0.418,4.941,3.491,2.552
2015-01-01 18:00:00+00:00,-0.498,4.847,3.43,2.624
2015-01-01 19:00:00+00:00,-0.543,4.727,3.387,2.718
2015-01-01 20:00:00+00:00,-0.59,4.588,3.286,2.887
2015-01-01 21:00:00+00:00,-0.603,4.586,3.14,3.038
2015-01-01 22:00:00+00:00,-0.578,4.719,2.993,3.105
2015-01-01 23:00:00+00:00,-0.59,4.935,2.894,3.14
2015-01-02 00:00:00+00:00,-0.59,5.263,2.951,3.075
2015-01-02 01:00:00+00:00,-0.537,5.568,3.099,3.018
2015-01-02 02:00:00+00:00,-0.435,5.922,3.261,2.948
2015-01-02 03:00:00+00:00,-0.287,6.373,3.404,2.798
2015-01-02 04:00:00+00:00,-0.14,6.925,3.589,2.598
2015-01-02 05:00:00+00:00,0.067,7.456,3.883,2.272
2015-01-02 06:00:00+00:00,0.348,7.703,4.221,2.006
2015-01-02 07:00:00+00:00,0.754,7.625,4.54,1.834
2015-01-02 08:00:00+00:00,1.455,7.344,4.812,1.688
2015-01-02 09:00:00+00:00,2.221,6.793,4.905,1.664
2015-01-02 10:00:00+00:00,2.929,6.496,4.776,1.661
2015-01-02 11:00:00+00:00,3.42,6.376,4.627,1.639
2015-01-02 12:00:00+00:00,3.63,6.216,4.397,1.562
2015-01-02 13:00:00+00:00,3.548,5.961,3.994,1.424
2015-01-02 14:00:00+00:00,3.116,5.649,3.514,1.233
2015-01-02 15:00:00+00:00,2.579,5.359,3.125,1.082
2015-01-02 16:00:00+00:00,2.323,5.095,2.807,1.038
2015-01-02 17:00:00+00:00,2.194,4.898,2.566,1.041
2015-01-02 18:00:00+00:00,2.036,4.757,2.429,0.975
2015-01-02 19:00:00+00:00,1.884,4.606,2.451,0.914
2015-01-02 20:00:00+00:00,1.754,4.385,2.541,1.026
2015-01-02 21:00:00+00:00,1.608,4.222,2.594,1.181
2015-01-02 22:00:00+00:00,1.496,4.162,2.625,1.176
2015-01-02 23:00:00+00:00,1.317,4.24,2.634,1.095
2015-01-03 00:00:00+00:00,1.113,4.428,2.643,1.028
2015-01-03 01:00:00+00:00,0.964,4.607,2.757,0.958
2015-01-03 02:00:00+00:00,0.785,4.703,2.833,0.799
2015-01-03 03:00:00+00:00,0.554,4.703,2.828,0.487
2015-01-03 04:00:00+00:00,0.334,4.646,2.748,0.15
2015-01-03 05:00:00+00:00,0.204,4.563,2.661,-0.169
2015-01-03 06:00:00+00:00,0.104,4.527,2.493,-0.488
2015-01-03 07:00:00+00:00,0.094,4.511,2.286,-0.841
2015-01-03 08:00:00+00:00,0.503,4.562,2.139,-1.013
2015-01-03 09:00:00+00:00,1.029,4.773,2.201,-0.731
2015-01-03 10:00:00+00:00,1.377,4.997,2.328,-0.377
2015-01-03 11:00:00+00:00,1.549,5.121,2.385,-0.243
2015-01-03 12:00:00+00:00,1.685,5.039,2.235,-0.341
2015-01-03 13:00:00+00:00,1.673,4.719,1.842,-0.713
2015-01-03 14:00:00+00:00,1.351,4.228,1.32,-1.267
2015-01-03 15:00:00+00:00,0.836,3.76,0.923,-1.751
2015-01-03 16:00:00+00:00,0.738,3.39,0.597,-1.978
2015-01-03 17:00:00+00:00,0.726,3.158,0.252,-2.022
2015-01-03 18:00:00+00:00,0.836,2.977,-0.077,-2.094
2015-01-03 19:00:00+00:00,0.816,2.849,-0.367,-2.211
2015-01-03 20:00:00+00:00,0.672,2.671,-0.56,-2.323
2015-01-03 21:00:00+00:00,0.675,2.529,-0.737,-2.393
2015-01-03 22:00:00+00:00,0.501,2.358,-0.885,-2.463
2015-01-03 23:00:00+00:00,0.255,2.184,-0.999,-2.563
2015-01-04 00:00:00+00:00,0.153,2.052,-1.144,-2.669
2015-01-04 01:00:00+00:00,0.083,2.018,-1.275,-2.76
2015-01-04 02:00:00+00:00,0.031,2.041,-1.327,-2.89
2015-01-04 03:00:00+00:00,-0.018,2.109,-1.417,-2.974
2015-01-04 04:00:00+00:00,-0.044,2.181,-1.524,-2.975
2015-01-04 05:00:00+00:00,-0.067,2.243,-1.595,-2.98
2015-01-04 06:00:00+00:00,-0.108,2.165,-1.632,-2.959
2015-01-04 07:00:00+00:00,-0.072,2.002,-1.661,-2.883
2015-01-04 08:00:00+00:00,0.414,2.151,-1.532,-2.754
2015-01-04 09:00:00+00:00,1.146,2.643,-1.121,-2.432
2015-01-04 10:00:00+00:00,1.825,3.165,-0.675,-2.02
2015-01-04 11:00:00+00:00,2.359,3.517,-0.414,-1.728
2015-01-04 12:00:00+00:00,2.661,3.596,-0.477,-1.72
2015-01-04 13:00:00+00:00,2.609,3.342,-0.893,-2.142
2015-01-04 14:00:00+00:00,1.938,2.714,-1.499,-2.711
2015-01-04 15:00:00+00:00,0.616,2.228,-1.887,-2.944
2015-01-04 16:00:00+00:00,0.034,2.016,-2.112,-3.127
2015-01-04 17:00:00+00:00,-0.2,1.983,-2.261,-3.283
2015-01-04 18:00:00+00:00,-0.369,2.104,-2.349,-3.419
2015-01-04 19:00:00+00:00,-0.443,2.329,-2.412,-3.531
2015-01-04 20:00:00+00:00,-0.466,2.545,-2.469,-3.678
2015-01-04 21:00:00+00:00,-0.51,2.723,-2.455,-3.645
2015-01-04 22:00:00+00:00,-0.584,2.914,-2.522,-3.435
2015-01-04 23:00:00+00:00,-0.72,3.111,-2.545,-3.277
2015-01-05 00:00:00+00:00,-0.868,3.368,-2.523,-3.303
2015-01-05 01:00:00+00:00,-1.015,3.597,-2.53,-3.506
2015-01-05 02:00:00+00:00,-1.201,3.813,-2.762,-3.718
2015-01-05 03:00:00+00:00,-1.428,3.975,-2.979,-3.874
2015-01-05 04:00:00+00:00,-1.682,4.061,-3.13,-4.002
2015-01-05 05:00:00+00:00,-1.983,4.077,-3.162,-4.037
2015-01-05 06:00:00+00:00,-2.229,3.995,-3.254,-3.857
2015-01-05 07:00:00+00:00,-2.379,3.818,-3.351,-3.632
2015-01-05 08:00:00+00:00,-1.699,3.876,-3.168,-3.624
2015-01-05 09:00:00+00:00,-0.473,4.198,-2.556,-3.357
2015-01-05 10:00:00+00:00,0.57,4.416,-1.913,-2.805
2015-01-05 11:00:00+00:00,1.334,4.492,-1.533,-2.283
2015-01-05 12:00:00+00:00,1.739,4.409,-1.632,-2.067
2015-01-05 13:00:00+00:00,1.774,4.174,-2.424,-2.179
2015-01-05 14:00:00+00:00,0.932,3.824,-3.049,-2.467
2015-01-05 15:00:00+00:00,-0.512,3.535,-3.106,-2.668
2015-01-05 16:00:00+00:00,-1.091,3.254,-3.116,-2.726
2015-01-05 17:00:00+00:00,-1.351,2.996,-3.136,-2.603
2015-01-05 18:00:00+00:00,-1.539,2.777,-3.135,-2.415
2015-01-05 19:00:00+00:00,-1.669,2.59,-3.172,-2.238
2015-01-05 20:00:00+00:00,-1.78,2.523,-3.344,-2.047
2015-01-05 21:00:00+00:00,-1.914,2.544,-3.472,-1.818
2015-01-05 22:00:00+00:00,-2.089,2.56,-3.521,-1.603
2015-01-05 23:00:00+00:00,-2.277,2.617,-3.512,-1.332
2015-01-06 00:00:00+00:00,-2.453,2.719,-3.483,-1.093
2015-01-06 01:00:00+00:00,-2.594,2.82,-3.45,-0.851
2015-01-06 02:00:00+00:00,-2.733,2.9,-3.407,-0.68
2015-01-06 03:00:00+00:00,-2.886,3.012,-3.348,-0.434
2015-01-06 04:00:00+00:00,-3.075,3.096,-3.257,-0.181
2015-01-06 05:00:00+00:00,-3.254,3.137,-3.135,0.05
2015-01-06 06:00:00+00:00,-3.435,3.149,-3.004,0.291
2015-01-06 07:00:00+00:00,-3.495,3.128,-2.899,0.502
2015-01-06 08:00:00+00:00,-2.376,3.231,-2.532,0.669
2015-01-06 09:00:00+00:00,-0.751,3.408,-1.932,0.771
2015-01-06 10:00:00+00:00,0.469,3.544,-1.374,0.815
2015-01-06 11:00:00+00:00,1.302,3.607,-0.991,0.858
2015-01-06 12:00:00+00:00,1.699,3.577,-0.837,0.915
2015-01-06 13:00:00+00:00,1.536,3.421,-0.883,0.987
2015-01-06 14:00:00+00:00,0.344,3.164,-0.984,1.01
2015-01-06 15:00:00+00:00,-1.232,2.969,-0.924,1.068
2015-01-06 16:00:00+00:00,-1.77,2.775,-0.802,1.118
2015-01-06 17:00:00+00:00,-1.931,2.562,-0.698,1.115
2015-01-06 18:00:00+00:00,-1.992,2.344,-0.588,1.057
2015-01-06 19:00:00+00:00,-2.008,2.138,-0.491,0.982
2015-01-06 20:00:00+00:00,-1.985,1.953,-0.421,0.956
2015-01-06 21:00:00+00:00,-1.946,1.825,-0.387,0.956
2015-01-06 22:00:00+00:00,-1.858,1.736,-0.396,0.974
2015-01-06 23:00:00+00:00,-1.724,1.682,-0.417,0.965
2015-01-07 00:00:00+00:00,-1.503,1.72,-0.428,0.918
2015-01-07 01:00:00+00:00,-1.246,1.929,-0.453,0.807
2015-01-07 02:00:00+00:00,-0.975,2.287,-0.506,0.701
2015-01-07 03:00:00+00:00,-0.709,2.557,-0.547,0.449
2015-01-07 04:00:00+00:00,-0.492,2.629,-0.561,0.106
2015-01-07 05:00:00+00:00,-0.268,2.681,-0.562,-0.184
2015-01-07 06:00:00+00:00,-0.102,2.911,-0.529,-0.471
2015-01-07 07:00:00+00:00,0.1,3.086,-0.421,-0.768
2015-01-07 08:00:00+00:00,0.732,3.436,-0.227,-1.147
2015-01-07 09:00:00+00:00,1.325,4.078,0.067,-1.205
2015-01-07 10:00:00+00:00,1.825,4.585,0.37,-0.942
2015-01-07 11:00:00+00:00,2.272,4.925,0.565,-0.711
2015-01-07 12:00:00+00:00,2.48,5.04,0.562,-0.644
2015-01-07 13:00:00+00:00,2.371,4.82,0.192,-0.794
2015-01-07 14:00:00+00:00,1.722,4.202,-0.377,-1.05
2015-01-07 15:00:00+00:00,0.702,4.045,-0.666,-1.202
2015-01-07 16:00:00+00:00,0.323,4.228,-0.815,-1.302
2015-01-07 17:00:00+00:00,0.141,4.34,-0.752,-1.315
2015-01-07 18:00:00+00:00,-0.041,4.401,-0.607,-1.158
2015-01-07 19:00:00+00:00,-0.155,4.443,-0.462,-0.73
2015-01-07 20:00:00+00:00,-0.249,4.487,-0.322,-0.259
2015-01-07 21:00:00+00:00,-0.301,4.45,-0.163,0.284
2015-01-07 22:00:00+00:00,-0.258,4.376,-0.059,0.745
2015-01-07 23:00:00+00:00,-0.102,4.264,0.069,1.23
2015-01-08 00:00:00+00:00,0.148,4.079,0.207,1.634
2015-01-08 01:00:00+00:00,0.432,3.861,0.427,1.888
2015-01-08 02:00:00+00:00,0.705,3.605,0.649,2.003
2015-01-08 03:00:00+00:00,0.933,3.396,0.789,2.086
2015-01-08 04:00:00+00:00,1.164,3.47,0.873,2.112
